國文,英文,數學,社會,自然
15,9,12,8,13
13,10,6,13,10
9,12,14,9,10
6,14,6,11,8
9,8,8,14,11
9,7,7,15,14
8,6,10,9,11
13,9,7,6,7
9,10,10,8,11
7,9,11,12,10
8,10,14,13,10
15,9,10,11,9
7,12,11,7,6
13,14,11,9,12
7,15,12,12,7
14,7,10,13,15
15,12,9,9,14
11,6,9,11,6
11,9,7,8,6
12,15,6,8,10
7,12,11,15,15
9,15,11,9,15
9,8,11,8,11
9,12,12,14,15
7,13,6,7,7
13,15,7,9,12
12,10,8,13,6
12,15,12,7,9
11,9,14,11,9
14,14,13,10,7
11,15,13,9,14
12,9,13,11,13
7,8,11,12,11
12,8,9,6,10
9,9,9,9,9
12,7,7,11,6
7,12,6,14,12
11,8,6,12,15
11,15,12,14,15
12,13,12,14,8
6,9,15,13,10
7,13,10,8,6
6,7,13,14,12
9,6,13,15,12
14,8,11,11,8
13,14,9,6,12
12,13,7,7,7
6,15,12,10,15
8,13,12,10,9
14,9,9,9,12
7,6,8,11,15
13,9,15,7,10
9,12,12,15,13
12,6,12,15,6
11,14,8,12,9
12,11,10,8,8
10,9,12,11,9
7,8,11,13,6
13,10,14,6,14
6,7,9,6,6
12,7,6,11,13
12,12,15,13,9
6,14,7,15,10
13,10,7,13,15
10,12,10,6,11
10,15,15,9,13
6,6,11,14,9
15,13,8,14,13
9,15,7,10,8
14,7,10,14,15
12,10,12,11,8
15,14,13,6,8
11,15,6,9,9
12,11,7,13,13
7,15,12,7,12
12,9,14,10,10
8,15,14,6,9
15,10,15,11,9
15,14,14,11,6
11,11,7,14,6
12,13,14,9,11
13,8,10,14,6
8,8,8,6,7
15,7,12,7,14
11,14,15,9,14
8,14,10,8,11
15,14,14,7,6
14,10,11,6,15
13,11,10,7,8
11,10,11,12,7
7,15,12,15,6
11,14,9,6,10
8,11,9,6,9
6,8,10,12,11
11,12,12,11,10
9,9,10,15,14
6,12,10,15,15
14,9,8,10,15
7,9,8,15,14
7,10,10,7,10
